,city,lat,temp,humidity,cloudiness,wind
0,Port Alfred,-33.59,62.97,93,44,8.77
1,Punta Arenas,-53.16,48.2,49,0,9.17
2,Chuy,-33.69,64.54,90,92,15.82
3,Port Hedland,-20.31,71.6,68,0,5.82
4,Cape Town,-33.93,60.8,93,75,5.82
5,Harper,30.3,55.44,93,90,3.36
6,Mehamn,71.03,38.46,100,90,13.87
7,Yellowknife,62.45,28.4,63,75,14.99
8,Mataura,-46.19,66.16,72,20,15.7
9,Kaitangata,-46.28,65.53,61,48,18.84
10,Cape Town,-33.93,60.8,93,75,5.82
11,Jardim,-21.48,79.93,76,12,4.07
12,Hilo,19.71,72.82,88,90,8.05
13,Busselton,-33.64,59.68,100,76,14.7
14,Harbour Breton,47.48,42.36,100,80,27.11
15,Nokaneng,-19.66,71.65,23,0,12.01
16,Placer,42.63,74.98,20,1,3.36
17,Griffith,-34.29,75.25,65,0,6.98
18,Saint George,39.45,55.4,87,0,4.7
19,Arraial do Cabo,-22.97,75.2,88,75,12.75
20,East London,-33.02,67.11,100,24,15.14
21,Okha,53.59,41.28,82,80,14.92
22,Naze,5.43,75.2,94,40,2.62
23,Butaritari,3.07,83.67,100,64,7.2
24,Albany,42.65,39.16,44,20,17.22
25,Zhigalovo,54.81,24.76,77,48,2.17
26,Gimbi,8.81,46.99,90,64,2.06
27,Port Lincoln,-34.72,70.62,63,0,27.45
28,Port Hardy,50.7,51.8,87,75,3.36
29,Sobolevo,54.43,45.01,76,0,6.76
30,Ushuaia,-54.81,50.0,27,0,16.11
31,Punta Arenas,-53.16,48.2,49,0,9.17
32,Cobija,-11.02,89.6,66,75,3.36
33,Westport,53.8,51.13,87,80,17.94
34,Kapaa,22.08,82.69,69,20,11.41
35,Vaini,15.34,65.94,94,44,2.51
36,Aklavik,68.22,26.35,86,75,8.05
37,Rikitea,-23.12,76.24,97,44,10.67
38,Maua,0.23,58.33,93,76,1.05
39,Lebu,8.96,57.2,82,75,3.36
40,Sambava,-14.27,75.03,100,88,1.16
41,Ust-Maya,60.42,22.92,80,80,4.41
42,Hambantota,6.12,78.85,100,0,5.41
43,Banda Aceh,5.56,72.87,100,76,2.73
44,Arlit,18.74,78.31,24,36,3.18
45,Dalvik,57.79,30.2,92,0,3.4
46,Cape Town,-33.93,60.8,93,75,5.82
47,Kieta,-6.22,79.53,100,88,4.41
48,Port Alfred,-33.59,62.97,93,44,8.77
49,Puerto Ayora,-0.74,75.2,64,0,20.8
50,Saint-Philippe,45.36,36.01,40,1,14.99
51,Ayan,40.67,42.58,87,24,2.39
52,Nanortalik,60.14,33.36,91,20,25.55
53,Hovd,63.83,45.54,81,75,14.99
54,Victoria,5.28,77.79,83,75,6.93
55,Ponta do Sol,-20.63,70.39,87,12,4.18
56,Upernavik,72.79,23.14,100,44,11.34
57,Hithadhoo,-0.6,81.19,100,76,6.31
58,Paamiut,61.99,33.63,100,32,25.77
59,Ugoofaaru,5.67,81.91,100,0,1.39
60,Litovko,49.24,36.24,72,76,2.95
61,Luena,-11.78,63.96,92,0,2.95
62,Yulara,-25.24,82.4,51,92,13.87
63,Hami,42.84,32.01,92,8,3.06
64,Adrar,27.87,71.6,30,0,6.93
65,Urusha,54.05,26.38,80,0,2.17
66,Chara,39.42,55.4,87,0,4.7
67,Barrow,-38.31,50.68,74,0,11.23
68,Surt,31.21,74.26,100,0,7.99
69,Omboue,-1.57,78.76,100,8,5.19
70,Cacheu,12.27,82.4,88,0,2.24
71,Mianwali,32.57,56.13,99,8,5.19
72,Popondetta,-8.77,78.36,74,44,2.39
73,Muyezerskiy,63.93,40.29,92,88,7.99
